treated_row,matched_control_row,treated_pscore,control_pscore,distance
5,60,0.4988868635891869,0.5084866993043392,0.009599835715152327
7,69,0.5717496759340362,0.5692252057285648,0.0025244702054714185
10,49,0.43962354915044843,0.4405468052497245,0.0009232560992760708
11,74,0.7066380489048871,0.6254066723027425,0.08123137660214463
14,78,0.48402562652920256,0.4726447228665461,0.011380903662656483
17,69,0.5789850387578028,0.5692252057285648,0.009759833029237996
18,61,0.3799513735042863,0.3781694822497924,0.0017818912544939058
21,102,0.4454284152166417,0.4457534272303182,0.00032501201367646226
23,4,0.4498889664124196,0.4497145611496506,0.00017440526276901736
24,83,0.6149051981697059,0.6168592728165482,0.0019540746468422743
25,74,0.6651195416861517,0.6254066723027425,0.03971286938340923
27,26,0.3655085737326985,0.364809562322145,0.0006990114105535072
28,89,0.41596891982670325,0.4166948923256261,0.0007259724989228666
29,44,0.5421823848337018,0.5420553526451843,0.0001270321885175063
31,51,0.2617576907691327,0.25932854918739123,0.0024291415817414563
32,63,0.39218396873774153,0.3948505492341858,0.0026665804964442485
34,103,0.5324494619641732,0.5279871857812503,0.004462276182922942
36,40,0.24869539533163432,0.24777876016627778,0.000916635165356533
41,74,0.6772261073621505,0.6254066723027425,0.051819435059408
43,112,0.46567605255441,0.465183790890534,0.0004922616638760036
45,78,0.47024787187401257,0.4726447228665461,0.0023968509925335058
46,74,0.665350940219973,0.6254066723027425,0.03994426791723049
48,26,0.37012283964770476,0.364809562322145,0.005313277325559751
50,94,0.22429473536453018,0.22580635420332776,0.0015116188387975793
54,79,0.4531421385374205,0.4509225787710744,0.0022195597663461353
58,103,0.5248067884757165,0.5279871857812503,0.0031803973055337664
62,79,0.4572326863902531,0.4509225787710744,0.0063101076191787175
64,90,0.44260060389559286,0.4431095594717249,0.0005089555761320641
66,22,0.3453640409496442,0.3507606378520994,0.005396596902455197
70,44,0.540053045319031,0.5420553526451843,0.002002307326153363
71,35,0.5861469080527154,0.5913823384879866,0.005235430435271193
81,20,0.5538359678694137,0.5570678882539624,0.00323192038454867
82,60,0.5030435858781136,0.5084866993043392,0.00544311342622561
88,74,0.7030719858830303,0.6254066723027425,0.07766531358028783
91,53,0.3714828004676856,0.37772023038695884,0.00623742991927323
92,78,0.4740439844937121,0.4726447228665461,0.0013992616271660263
93,76,0.18841760788914982,0.1934363255615526,0.005018717672402778
96,116,0.5117627997885085,0.5093210411450747,0.002441758643433767
97,47,0.28569384244901236,0.2874883472482361,0.0017945047992237173
98,95,0.5504249548287014,0.5495768420095116,0.000848112819189728
100,80,0.30611397593163975,0.30664289624025887,0.0005289203086191185
104,60,0.4934967466744369,0.5084866993043392,0.014989952629902326
107,1,0.11705355248558164,0.14057039692093395,0.02351684443535232
109,74,0.6531565520466545,0.6254066723027425,0.027749879743911965
110,13,0.3960376270230054,0.39545059297366186,0.0005870340493435156
113,75,0.38863934663897065,0.3841157994922643,0.00452354714670633
114,13,0.3970618935545896,0.39545059297366186,0.0016113005809277325
115,0,0.16920706693486023,0.1593527786728979,0.00985428826196233
119,63,0.3927996782546097,0.3948505492341858,0.0020508709795760693
