region_id,region_name,year,post,exposure_share,manufacturing_share,ee_reallocation_rate,log_firm_employment,native_wage_growth,exposure_group
1,market_01,2014,0,0.0480381634382374,0.1859438496057176,0.06908227363258683,4.4679978730887475,0.010972070693924026,low_exposure
1,market_01,2015,0,0.0480381634382374,0.1859438496057176,0.08117673637647041,4.473303633441683,-0.001280455627325523,low_exposure
1,market_01,2016,0,0.0480381634382374,0.1859438496057176,0.07510576375364696,4.481267406489488,0.0072831165126947504,low_exposure
1,market_01,2017,0,0.0480381634382374,0.1859438496057176,0.09027451417544949,4.500620818628297,0.009564947605584408,low_exposure
1,market_01,2018,1,0.0480381634382374,0.1859438496057176,0.10012109868184219,4.529883863981082,0.011329198238994564,low_exposure
1,market_01,2019,1,0.0480381634382374,0.1859438496057176,0.09759734657760358,4.500394241324111,0.017986511937911214,low_exposure
1,market_01,2020,1,0.0480381634382374,0.1859438496057176,0.11510474855626897,4.520420873346159,0.009243903193266357,low_exposure
1,market_01,2021,1,0.0480381634382374,0.1859438496057176,0.11495911709460521,4.540972975785189,0.011497967639367633,low_exposure
1,market_01,2022,1,0.0480381634382374,0.1859438496057176,0.13524896954492185,4.53872009432618,0.01800039397781356,low_exposure
2,market_02,2014,0,0.09114715797636376,0.202881750676457,0.02952690141327769,4.4266203362550876,0.00652734363442507,low_exposure
2,market_02,2015,0,0.09114715797636376,0.202881750676457,0.05147101143468167,4.427486052474281,0.0038585843467061898,low_exposure
2,market_02,2016,0,0.09114715797636376,0.202881750676457,0.08516086464999628,4.4550106883806375,0.005545969323420873,low_exposure
2,market_02,2017,0,0.09114715797636376,0.202881750676457,0.039636792070201377,4.47429138534139,0.015586127057078883,low_exposure
2,market_02,2018,1,0.09114715797636376,0.202881750676457,0.05480997133975573,4.482242898255645,0.021168131730627683,low_exposure
2,market_02,2019,1,0.09114715797636376,0.202881750676457,0.08092505105301669,4.465751198183461,0.014599178812403671,low_exposure
2,market_02,2020,1,0.09114715797636376,0.202881750676457,0.08571503273746278,4.543617763163935,0.023026901973475705,low_exposure
2,market_02,2021,1,0.09114715797636376,0.202881750676457,0.08858358505528788,4.534956946796726,0.01798605115053541,low_exposure
2,market_02,2022,1,0.09114715797636376,0.202881750676457,0.09555809470875795,4.546178528582851,0.017595918623875394,low_exposure
3,market_03,2014,0,0.15787562119291051,0.1887250560013073,0.11483365100261687,4.483422471199607,0.012944169759233959,low_exposure
3,market_03,2015,0,0.15787562119291051,0.1887250560013073,0.11928628982678502,4.4793426668663505,0.002272064086789354,low_exposure
3,market_03,2016,0,0.15787562119291051,0.1887250560013073,0.134442845109501,4.50490230128449,0.01597430197455316,low_exposure
3,market_03,2017,0,0.15787562119291051,0.1887250560013073,0.13695280935969847,4.5459734738284014,0.014771483513817149,low_exposure
