claimant_id,treatment_arm,burden_group,prior_filer,eligible_credit_k,wage_income_k,take_up,completed_filing,benefit_received_k
1,reminder_letter,high,0,1.49684183390809,11.72494055815039,0,0,0.0
2,simplified_notice,medium,1,1.8979635464761708,10.668627569693468,1,1,1.6873238701231097
3,reminder_letter,medium,0,3.228344641198352,20.32840578782111,1,1,3.273000741578965
4,control,low,0,2.0554858313863766,17.52186404597488,1,1,1.8604329636261558
5,control,medium,0,2.427628235846539,17.41724169788435,0,0,0.0
6,reminder_letter,high,1,2.1671669571088814,7.743376172212338,0,0,0.0
7,control,medium,1,1.4977116400365889,14.493787141041734,0,1,0.0
8,simplified_notice,low,1,2.7662885012521685,16.436934227887363,0,0,0.0
9,control,low,0,1.7756784205171137,12.843516938257164,0,0,0.0
10,simplified_notice,medium,0,2.4431427517221045,15.081698736538076,0,1,0.0
11,reminder_letter,high,0,1.6056986216413738,24.73010250306931,0,1,0.0
12,reminder_letter,medium,0,2.1859486874595078,17.61949415514608,1,0,2.236406206925577
13,reminder_letter,low,1,1.9094638769377026,17.706169828702663,0,0,0.0
14,control,medium,0,2.179051652588047,12.315493530803675,1,0,2.5863847535278026
15,control,medium,1,2.9586614119996035,16.86375385047715,0,0,0.0
16,simplified_notice,low,0,1.4598484402612566,18.960989205587023,0,0,0.0
17,simplified_notice,high,1,1.353656012414072,14.702085614351349,1,0,1.3231702535970111
18,control,high,1,3.8297233705192264,18.803479072756843,1,1,3.5172752407467676
19,reminder_letter,medium,1,1.192903277033426,15.83997259560265,1,1,1.3890685664779845
20,simplified_notice,medium,1,2.650537890662557,25.67890862905292,1,0,3.1013372371855104
21,reminder_letter,high,1,3.000031571268509,17.088551652017617,0,1,0.0
22,reminder_letter,high,1,1.2788215702515113,14.828402172402942,0,0,0.0
23,control,medium,1,2.2797498955286026,17.827355641584976,0,0,0.0
24,simplified_notice,medium,1,2.4767897516222384,11.271253873769139,0,1,0.0
25,reminder_letter,medium,1,1.2364849378287366,20.367052635459956,0,0,0.0
26,control,low,0,1.5321823711873968,20.601945197049588,1,0,1.6859972720178922
27,simplified_notice,high,1,2.9840372508017605,14.94195895407021,1,0,2.865909384654569
28,simplified_notice,high,0,2.266086461438889,16.12097191987475,0,1,0.0
29,reminder_letter,high,1,1.4679527492076105,12.671720356262608,1,1,1.5317618674222429
30,reminder_letter,medium,1,0.9598668489616162,19.79962079389288,1,0,0.954994717173647
