date,group,population_weight,labor_force_weight,employment_rate,labor_force_participation_rate,unemployment_rate,mean_hours_employed,median_weekly_earnings_employed
2023Q1,college,65.777,58.333999999999996,0.7617252231023002,0.8868449458017239,0.14108410189597834,38.92470341689287,1438.95
2023Q1,noncollege,67.422,53.532,0.6609118685295601,0.793984159473169,0.16760068743928866,38.1182551615799,1006.34
2023Q2,college,64.278,51.96300000000001,0.7696568032608357,0.8084103425744423,0.047937955853203235,39.55508004527813,1448.61
2023Q2,noncollege,66.166,52.47,0.7291055829277876,0.7930054710878699,0.08057937869258623,39.56381348202811,949.27
2023Q3,college,65.838,59.31000000000002,0.868525775388074,0.9008475348582888,0.03587927836789748,40.747712042251045,1414.89
2023Q3,noncollege,65.676,52.873999999999995,0.6774011815579511,0.8050733905840793,0.15858455951885617,38.578155723886795,1025.92
2023Q4,college,63.263,52.730999999999995,0.7922640405924474,0.8335203831623539,0.04949650110940434,39.06147742463239,1476.82
2023Q4,noncollege,65.72899999999998,60.819,0.8040743051012492,0.9252993351488691,0.13101169042568933,40.00429395848707,956.01
2024Q1,college,64.447,51.735,0.7663971945940076,0.8027526494639006,0.04528848941722238,40.239136297376085,1431.65
2024Q1,noncollege,67.389,55.905,0.667883482467465,0.8295864310198995,0.194919953492532,37.49450475471028,972.72
2024Q2,college,66.478,50.64,0.7428773428803513,0.761755768825777,0.024782780410742493,41.734979852181844,1438.33
2024Q2,noncollege,64.003,50.253,0.6337046700935896,0.7851663203287346,0.1929039062344537,38.19157745506545,967.93
2024Q3,college,66.26799999999999,52.193,0.7736916762238186,0.7876048771654495,0.017665204146149867,40.33706578767724,1492.93
2024Q3,noncollege,65.994,53.018,0.6877897990726429,0.8033760644907113,0.14387566486853523,37.744758977748404,1005.7
2024Q4,college,65.416,58.775000000000006,0.7511006481594718,0.8984804940687295,0.16403232666950232,40.266426914153136,1461.89
2024Q4,noncollege,62.697999999999986,46.789,0.6238157516986188,0.746259848799005,0.1640770266515634,37.55887272448355,926.46
