cz_id,county_id,tract_count,baseline_employment_1990,mean_cz_exposure,mean_county_exposure,county_minus_cz
CZ01,C01,7,9634,0.14170412045223169,0.14345785758771018,0.0017537371354784947
CZ01,C02,5,9029,0.14170412045223169,0.13629319322162267,-0.005410927230609014
CZ02,C02,1,1534,0.12465088065482716,0.13629319322162267,0.011642312566795515
CZ02,C03,6,5072,0.12465088065482716,0.12336100157728706,-0.0012898790775400931
CZ02,C04,5,7077,0.12465088065482717,0.11936850731215329,-0.005282373342673882
CZ03,C04,1,855,0.06310115131578946,0.11936850731215329,0.05626735599636383
CZ03,C05,6,6419,0.06310115131578946,0.04603318273874434,-0.017067968577045116
CZ03,C06,5,4886,0.06310115131578946,0.07367897686449203,0.010577825548702569
CZ04,C06,1,2073,0.04663061762802967,0.07367897686449203,0.027048359236462358
CZ04,C07,6,8672,0.04663061762802967,0.04013514760147602,-0.006495470026553651
CZ04,C08,5,9348,0.04663061762802967,0.055373896149770396,0.008743278521740727
CZ05,C08,1,1976,0.05680094104622198,0.055373896149770396,-0.001427044896451582
CZ05,C09,5,6116,0.05680094104622198,0.04975801177240027,-0.007042929273821712
CZ05,C10,6,9973,0.056800941046221985,0.06003098365587086,0.0032300426096488755
