geography,geography_id,baseline_employment_1990,population_1990,exposure,share_manufacturing,share_apparel,share_logistics,share_health,share_business,share_retail
county_id,C01,9634,18261,0.14345785758771018,0.4991696076396097,0.1471870458791779,0.10836620303093211,0.08335063317417479,0.11044218393190783,0.05148432634419763
county_id,C02,10563,18652,0.13629319322162267,0.4479787939032472,0.16122313736627852,0.06854113414749598,0.05585534412572186,0.11483480071949256,0.15156678973776389
county_id,C03,5072,10982,0.12336100157728706,0.18966876971608831,0.39964511041009465,0.11888801261829653,0.10488958990536278,0.04278391167192429,0.14412460567823343
county_id,C04,7932,15381,0.11936850731215329,0.19490670700958143,0.36548159354513365,0.10388300554715078,0.07690368129097327,0.10703479576399395,0.15179021684316693
county_id,C05,6419,12554,0.04603318273874434,0.06948122760554604,0.06605390247702134,0.3245053746689516,0.15532014332450536,0.2654619099548216,0.11917744196915407
county_id,C06,6959,12987,0.07367897686449203,0.14470469895099872,0.15390142261819226,0.2569334674522201,0.18177899123437274,0.12602385400201177,0.13665756574220433
county_id,C07,8672,15522,0.04013514760147602,0.08221863468634687,0.07483856088560886,0.12350092250922509,0.34398062730627305,0.16755073800738007,0.20791051660516605
county_id,C08,11324,18417,0.055373896149770396,0.08353938537619215,0.16478276227481456,0.14977039915224302,0.33663016601907453,0.16601907453196751,0.09925821264570824
county_id,C09,6116,12860,0.04975801177240027,0.07537606278613473,0.08469587965990844,0.20830608240680182,0.09417920209287116,0.4233158927403532,0.11412688031393067
county_id,C10,9973,18412,0.060030983655870854,0.10137370901433872,0.12854707710819213,0.16584778903038203,0.13486413315953072,0.3583675924997493,0.11099969918780708
