tract_id,county_id,cz_id,baseline_employment_1990,population_1990,employment_growth_2000_2010,geocode_quality,cz_exposure,county_exposure,exposure_difference_county_minus_cz
T001,C01,CZ01,1603,2855,-0.07334,rooftop,0.14170412045223169,0.14345785758771018,0.0017537371354784947
T002,C01,CZ01,1256,2004,-0.00485,zip_centroid,0.14170412045223169,0.14345785758771018,0.0017537371354784947
T003,C01,CZ01,1127,2298,-0.06057,street,0.14170412045223169,0.14345785758771018,0.0017537371354784947
T004,C01,CZ01,781,1913,-0.02249,rooftop,0.14170412045223169,0.14345785758771018,0.0017537371354784947
T005,C01,CZ01,1504,2592,-0.07174,rooftop,0.14170412045223169,0.14345785758771018,0.0017537371354784947
T006,C01,CZ01,1465,3245,-0.03083,zip_centroid,0.14170412045223169,0.14345785758771018,0.0017537371354784947
T007,C02,CZ01,1342,3358,-0.03333,street,0.14170412045223169,0.13629319322162267,-0.005410927230609014
T008,C02,CZ01,2247,3746,-0.04061,rooftop,0.14170412045223169,0.13629319322162267,-0.005410927230609014
T009,C02,CZ01,2608,3980,-0.05729,rooftop,0.14170412045223169,0.13629319322162267,-0.005410927230609014
T010,C02,CZ01,1181,1779,-0.04791,rooftop,0.14170412045223169,0.13629319322162267,-0.005410927230609014
T011,C02,CZ01,1651,2822,-0.00526,street,0.14170412045223169,0.13629319322162267,-0.005410927230609014
T012,C01,CZ01,1898,3354,-0.00526,rooftop,0.14170412045223169,0.14345785758771018,0.0017537371354784947
T013,C02,CZ02,1534,2967,-0.03761,street,0.12465088065482716,0.13629319322162267,0.011642312566795515
T014,C03,CZ02,996,2573,-0.02733,rooftop,0.12465088065482716,0.12336100157728706,-0.0012898790775400931
T015,C03,CZ02,857,2067,-0.07052,rooftop,0.12465088065482716,0.12336100157728706,-0.0012898790775400931
T016,C03,CZ02,510,983,-0.08914,rooftop,0.12465088065482716,0.12336100157728706,-0.0012898790775400931
T017,C03,CZ02,918,1701,-0.04231,street,0.12465088065482716,0.12336100157728706,-0.0012898790775400931
T018,C03,CZ02,921,1756,-0.04224,rooftop,0.12465088065482716,0.12336100157728706,-0.0012898790775400931
T019,C04,CZ02,1754,4099,-0.03798,rooftop,0.12465088065482716,0.11936850731215329,-0.005282373342673868
T020,C04,CZ02,2008,2994,0.00171,rooftop,0.12465088065482716,0.11936850731215329,-0.005282373342673868
T021,C04,CZ02,437,959,0.01897,street,0.12465088065482716,0.11936850731215329,-0.005282373342673868
T022,C04,CZ02,1279,2023,-0.05032,street,0.12465088065482716,0.11936850731215329,-0.005282373342673868
T023,C04,CZ02,1599,3831,-0.05408,rooftop,0.12465088065482716,0.11936850731215329,-0.005282373342673868
T024,C03,CZ02,870,1902,-0.04435,rooftop,0.12465088065482716,0.12336100157728706,-0.0012898790775400931
T025,C04,CZ03,855,1475,0.02028,street,0.06310115131578946,0.11936850731215329,0.05626735599636383
T026,C05,CZ03,551,1063,0.02167,rooftop,0.06310115131578946,0.04603318273874434,-0.017067968577045116
T027,C05,CZ03,1558,3308,0.02881,zip_centroid,0.06310115131578946,0.04603318273874434,-0.017067968577045116
T028,C05,CZ03,654,1468,0.03326,rooftop,0.06310115131578946,0.04603318273874434,-0.017067968577045116
T029,C05,CZ03,1169,2286,0.02697,rooftop,0.06310115131578946,0.04603318273874434,-0.017067968577045116
T030,C05,CZ03,786,1330,-0.00884,street,0.06310115131578946,0.04603318273874434,-0.017067968577045116
T031,C06,CZ03,670,1117,-0.03454,rooftop,0.06310115131578946,0.07367897686449203,0.010577825548702569
T032,C06,CZ03,1831,4156,-0.0194,rooftop,0.06310115131578946,0.07367897686449203,0.010577825548702569
T033,C06,CZ03,505,1107,0.00719,rooftop,0.06310115131578946,0.07367897686449203,0.010577825548702569
T034,C06,CZ03,912,1377,0.03056,rooftop,0.06310115131578946,0.07367897686449203,0.010577825548702569
