target_county_id,area_weight,employment_weight,population_weight,population_minus_area,employment_minus_area
C01,0.3502117402015633,0.3495472293490325,0.353053648641563,0.0028419084399997074,-0.0006645108525308308
C02,0.352682225551795,0.3544055094710145,0.35411215037582394,0.0014299248240289275,0.0017232839192194982
C03,0.39814082134401746,0.39814082134401746,0.39814082134401746,0.0,0.0
C04,0.37198129516517514,0.3675814982553315,0.37414544613452944,0.002164150969354295,-0.004399796909843656
C05,0.1573132602265757,0.15684558188893355,0.15725241805972892,-6.084216684679178e-05,-0.0004676783376421634
C06,0.17307777932349772,0.1730919338279127,0.1728853278232458,-0.0001924515002519056,1.4154504414970459e-05
C07,0.15180192675447687,0.15178647287096417,0.15212546433383645,0.00032353757935957295,-1.5453883512706046e-05
C08,0.18364147615357687,0.18348380248609877,0.18349319979020393,-0.00014827636337294559,-0.00015767366747809763
C09,0.19037738573046314,0.1904127141442766,0.19041107022261902,3.3684492155877654e-05,3.532841381345686e-05
C10,0.1705177023007942,0.17095677791965969,0.1720045043099933,0.001486802009199123,0.0004390756188654976
