application_id,firm_id,firm_name,segment,signal_group,resume_quality,test_score,referral_signal,callback,true_gap,signal_label
1,1,firm_01,retail,0,0,0.770095408978128,1,0,-0.12740496421002276,group_0
2,1,firm_01,retail,0,0,0.055464672829630406,0,0,-0.12740496421002276,group_0
3,1,firm_01,retail,1,0,0.28222877438697336,0,0,-0.12740496421002276,group_1
4,1,firm_01,retail,0,0,0.31250464507917014,0,0,-0.12740496421002276,group_0
5,1,firm_01,retail,1,1,0.81721226238487,0,0,-0.12740496421002276,group_1
6,1,firm_01,retail,0,1,0.6096356575567583,1,0,-0.12740496421002276,group_0
7,1,firm_01,retail,0,1,0.18595666187505067,0,0,-0.12740496421002276,group_0
8,1,firm_01,retail,0,0,-0.9243729645482478,1,0,-0.12740496421002276,group_0
9,1,firm_01,retail,0,1,-0.6220456906402614,0,0,-0.12740496421002276,group_0
10,1,firm_01,retail,1,1,0.8282689797042668,1,0,-0.12740496421002276,group_1
11,1,firm_01,retail,0,0,-1.2142897504732464,0,0,-0.12740496421002276,group_0
12,1,firm_01,retail,1,0,-0.4399615103931879,1,0,-0.12740496421002276,group_1
13,1,firm_01,retail,1,1,1.520751764558691,0,0,-0.12740496421002276,group_1
14,1,firm_01,retail,1,1,1.8453131512475989,0,0,-0.12740496421002276,group_1
15,1,firm_01,retail,0,1,0.12906539032478126,0,1,-0.12740496421002276,group_0
16,1,firm_01,retail,0,0,0.6547077023652971,0,1,-0.12740496421002276,group_0
17,1,firm_01,retail,1,0,1.3555395823890546,0,0,-0.12740496421002276,group_1
18,1,firm_01,retail,1,1,0.25863678868863854,1,0,-0.12740496421002276,group_1
19,1,firm_01,retail,1,0,-1.6140054518185378,1,0,-0.12740496421002276,group_1
20,1,firm_01,retail,1,1,1.2317948508201855,0,0,-0.12740496421002276,group_1
21,1,firm_01,retail,0,1,-0.3204211485437937,0,0,-0.12740496421002276,group_0
22,1,firm_01,retail,0,0,0.7703382352431095,1,0,-0.12740496421002276,group_0
23,1,firm_01,retail,1,1,-0.22115515384162482,1,0,-0.12740496421002276,group_1
