date,raw_log_wage,adjusted_log_wage,composition_gap
2018Q1,3.1628829,3.170508,-0.007625099999999829
2018Q2,3.15575721,3.1628078,-0.007050589999999968
2018Q3,3.1839874999999997,3.1896256000000003,-0.005638100000000534
2018Q4,3.1937830199999997,3.1988060000000003,-0.005022980000000565
2019Q1,3.20488542,3.2083084,-0.0034229799999998534
2019Q2,3.21521895,3.2177518000000003,-0.002532850000000142
2019Q3,3.2248234399999998,3.226458,-0.0016345600000002847
2019Q4,3.24617572,3.2468006000000003,-0.0006248800000001609
2020Q1,3.2482016600000003,3.2475658000000003,0.0006358600000000436
2020Q2,3.25330149,3.2516506,0.0016508900000000715
2020Q3,3.2713995000000002,3.2689462000000002,0.0024532999999999916
2020Q4,3.2851217100000003,3.2815776000000003,0.003544109999999989
