state,year,membership_rate,coverage_rate,covered_nonmember_rate,direct_compression_points,spillover_compression_points,p90_p10_gap_no_union_counterfactual,p90_p10_gap_observed,union_presence_rate
Midwest,1984,0.31793905646621323,0.3733590435658124,0.055419987099599166,7.344293510013209,2.826906472399464,1.5823555437387977,0.5652355454975304,0.3401070513060529
Midwest,1985,0.30745409743909213,0.359916863265595,0.05246276582650289,6.92626110204414,2.8567645589264594,1.6491147493942144,0.6708121832971545,0.32843920376969327
Midwest,1986,0.30482550551305465,0.3534560491880262,0.04863054367497155,6.875700270750992,2.834213902055074,1.5940415973700581,0.6230501800894515,0.32427772298304325
Midwest,1987,0.29607444447384595,0.35331273878904557,0.05723829431519961,6.764842532906366,2.6949986194703346,1.703462907963615,0.757478792725945,0.3189697621999258
Midwest,1988,0.31385471878277854,0.36051460795793483,0.04665988917515629,6.863394205676904,2.8229169785428594,1.630233299367705,0.6616021809457284,0.33251867445284106
Midwest,1989,0.28863444206796635,0.33952330836291983,0.05088886629495348,6.572338467611502,2.7023483566254107,1.6947996806695043,0.7673309982458132,0.30898998858594773
Midwest,1990,0.2940614804501098,0.3443436429757134,0.05028216252560358,6.7207491962135215,2.581685312392476,1.6576772411379856,0.727433790277386,0.3141743454603513
Midwest,1991,0.30723749138374346,0.34480560768237206,0.03756811629862861,6.70999348086039,2.6399958510825687,1.7248402077587202,0.7898412745644243,0.3222647379031949
Midwest,1992,0.28770162771822905,0.33624831627478025,0.0485466885565512,6.53658677647217,2.615686650515548,1.7234153471253995,0.8081880044266279,0.30712030314084954
Midwest,1993,0.28236240723552813,0.32906183206492107,0.04669942482939293,6.269643765258381,2.524362386603859,1.7246970955309284,0.8452964803447044,0.3010421771672853
Midwest,1994,0.2685738886679267,0.3135722907751602,0.04499840210723349,6.011202612748095,2.3857067461299106,1.7364323539011126,0.8967414180133121,0.2865732495108201
Midwest,1995,0.27561506377325445,0.32168309090201525,0.04606802712876079,6.21856929098361,2.5638767919034278,1.7968048867579616,0.9185602784692577,0.29404227462475874
Midwest,1996,0.25278868450632386,0.3017741204453379,0.048985435939014055,5.820129183708136,2.4221763952624,1.787970536952571,0.9637399790555173,0.2723828588819295
Midwest,1997,0.2705843871096862,0.31400834999279886,0.04342396288311268,6.140519714588301,2.432522702945696,1.8112831091500114,0.9539788673966119,0.2879539722629313
Midwest,1998,0.23915646991248202,0.2906368192355612,0.051480349323079155,5.656478841497527,2.3196503795371144,1.8221445533112572,1.0245316312077932,0.2597486096417137
Midwest,1999,0.2486732150554124,0.29883647229337934,0.05016325723796694,5.88803498202539,2.3240110880659093,1.8258569691107978,1.0046523621016679,0.2687385179505992
Midwest,2000,0.24339409197041495,0.28881457055038157,0.04542047857996662,5.631179124268873,2.2752064053124914,1.8089217480071362,1.018283195049,0.2615622834024016
Midwest,2001,0.2218108509656568,0.27436306927610404,0.052552218310447235,5.321820548781841,2.188591811296763,1.89053861761572,1.1394973816078595,0.2428317382898357
Midwest,2002,0.23475473841002473,0.2766969470792306,0.041942208669205866,5.409157948819517,2.2162466357260002,1.9279341070241018,1.1653936485695502,0.25153162187770706
Midwest,2003,0.2126381831303325,0.2699545521355169,0.05731636900518439,5.1751634777082,2.0936763836565673,1.8669116788412639,1.1400276927047872,0.23556473073240627
Midwest,2004,0.2312297499035351,0.2741085325898911,0.042878782686356004,5.261619749903107,2.1223326442463337,1.9459379588481098,1.2075427194331658,0.2483812629780775
Midwest,2005,0.20546754247095045,0.2599600506557522,0.054492508184801725,5.031147667043722,2.2005626905364526,1.9257024136581986,1.2025313779001812,0.22726454574487115
Midwest,2006,0.19391420470762424,0.2413323349692349,0.04741813026161065,4.923884064120312,1.8073742159797515,1.9552136345310767,1.2820878065210704,0.2128814568122685
Midwest,2007,0.20328828006460484,0.25435324029889533,0.051064960234290496,4.932262862165346,2.043654959344591,2.00623897037316,1.308647188222166,0.22371426415832102
Midwest,2008,0.20276655250915193,0.2504739720142301,0.047707419505078175,4.9392155157650235,1.9561739854344131,1.992941159636683,1.3034022095167395,0.2218495203111832
Midwest,2009,0.19326737081498285,0.24579776087805086,0.052530390063068005,4.6676977652200735,2.0065623213676527,1.994597789101988,1.3271717804432153,0.21427952684021007
Midwest,2010,0.2016927846900257,0.245641708516713,0.0439489238266873,4.850972495539713,2.0347994354130616,2.004392590655026,1.3158153975597484,0.2192723542207006
Midwest,2011,0.18752208304999313,0.23654233444452794,0.04902025139453481,4.53199143948,1.9579903468775723,2.01627009908697,1.3672719204512132,0.20713018360780705
Midwest,2012,0.18080278392853047,0.23697317082559397,0.056170386897063496,4.676490992686042,1.9285097056605782,2.0161482373313975,1.3556481674967356,0.20327093868735588
Midwest,2013,0.1864242379358061,0.23012492038892582,0.04370068245311973,4.455917655476764,1.8226064175814949,2.0325480712396575,1.4046956639338317,0.20390451091705397
