replacement_cost,maintenance_slope,neg_log_likelihood
2.6,0.22,3183.6150570413693
2.6,0.24,3146.7638674943964
2.6,0.26,3121.7414517113807
2.6,0.28,3106.951546207508
2.6,0.3,3101.1159800391197
2.6,0.32,3103.203094864343
2.6,0.33999999999999997,3112.3709926830497
2.6,0.36,3127.9239426252593
2.6,0.38,3149.279458965315
2.6,0.4,3175.943619262456
2.6,0.42000000000000004,3207.492570989482
2.6,0.44,3243.5586158850347
2.6,0.45999999999999996,3283.819657340051
2.6,0.48,3327.991115895121
2.6,0.5,3375.8196619956366
2.6,0.52,3427.0782955107675
2.6,0.54,3481.562432275762
2.6,0.56,3539.0867516862263
2.6,0.58,3599.482626271835
2.6,0.6,3662.5960018572
2.6,0.62,3728.285630974878
2.6,0.64,3796.4215866396685
2.6,0.66,3866.8840012583432
2.6,0.68,3939.561988326389
2.6,0.7,4014.352714043358
2.6,0.72,4091.1605930344294
2.6,0.74,4169.896587677969
2.6,0.76,4250.477594585217
2.6,0.78,4332.825904896707
2.6,0.7999999999999999,4416.868727490376
2.6,0.82,4502.537766111498
2.6,0.84,4589.76884295811
2.6,0.86,4678.501562480138
2.6,0.88,4768.67901014175
2.6,0.9,4860.247481706873
2.6,0.92,4953.156239272876
2.7,0.22,3189.795855094123
2.7,0.24,3146.0462672966332
2.7,0.26,3114.7425746174586
2.7,0.28,3094.175982558422
2.7,0.3,3082.979143825336
2.7,0.32,3080.0508682191
2.7,0.33999999999999997,3084.4953527265297
2.7,0.36,3095.5750024712024
2.7,0.38,3112.674584489423
2.7,0.4,3135.2742766964548
2.7,0.42000000000000004,3162.929463850443
2.7,0.44,3195.2555534935773
2.7,0.45999999999999996,3231.91649074308
2.7,0.48,3272.6159898723995
2.7,0.5,3317.090764579878
2.7,0.52,3365.105236320558
2.7,0.54,3416.4473443828733
2.7,0.56,3470.925185398539
2.7,0.58,3528.3642843873063
2.7,0.6,3588.605352534321
2.7,0.62,3651.502424813593
2.7,0.64,3716.9212977448165
2.7,0.66,3784.738207160646
2.7,0.68,3854.8387000947737
2.7,0.7,3927.1166653387327
2.7,0.72,4001.4734949498816
2.7,0.74,4077.817354788848
2.7,0.76,4156.062546558951
2.7,0.78,4236.128947190679
2.7,0.7999999999999999,4317.941514029704
2.7,0.82,4401.4298463389605
2.7,0.84,4486.527795252242
2.7,0.86,4573.173115619244
2.7,0.88,4661.307154234046
2.7,0.9,4750.874569795772
2.7,0.92,4841.823080653156
2.8000000000000003,0.22,3201.1647946490048
2.8000000000000003,0.24,3150.397093717481
2.8000000000000003,0.26,3112.7218070656763
2.8000000000000003,0.28,3086.3116603426606
2.8000000000000003,0.3,3069.7045594474002
2.8000000000000003,0.32,3061.7251147905554
2.8000000000000003,0.33999999999999997,3061.419944682293
2.8000000000000003,0.36,3068.006809678096
2.8000000000000003,0.38,3080.8356788795654
2.8000000000000003,0.4,3099.3593450391154
2.8000000000000003,0.42000000000000004,3123.111367858147
2.8000000000000003,0.44,3151.6895082596734
2.8000000000000003,0.45999999999999996,3184.7432242672116
2.8000000000000003,0.48,3221.96415475734
2.8000000000000003,0.5,3263.07880081854
2.8000000000000003,0.52,3307.8428296125094
2.8000000000000003,0.54,3356.036584331484
2.8000000000000003,0.56,3407.4614989082856
2.8000000000000003,0.58,3461.937198757714
2.8000000000000003,0.6,3519.2991278865597
2.8000000000000003,0.62,3579.3965848968483
2.8000000000000003,0.64,3642.091080613687
2.8000000000000003,0.66,3707.2549518021688
2.8000000000000003,0.68,3774.7701811825164
2.8000000000000003,0.7,3844.527385456782
2.8000000000000003,0.72,3916.424941549782
2.8000000000000003,0.74,3990.368227599617
2.8000000000000003,0.76,4066.26896001193
2.8000000000000003,0.78,4144.044611539743
2.8000000000000003,0.7999999999999999,4223.6178981691755
2.8000000000000003,0.82,4304.91632479226
2.8000000000000003,0.84,4387.871781386491
2.8000000000000003,0.86,4472.420182807748
2.8000000000000003,0.88,4558.501146419305
2.8000000000000003,0.9,4646.057702686694
2.8000000000000003,0.92,4735.036034610213
2.9000000000000004,0.22,3217.568041791683
2.9000000000000004,0.24,3159.6543902056037
2.9000000000000004,0.26,3115.5105802382504
2.9000000000000004,0.28,3083.185092546475
2.9000000000000004,0.3,3061.1153777052377
2.9000000000000004,0.32,3048.046919692799
2.9000000000000004,0.33999999999999997,3042.964807848059
2.9000000000000004,0.36,3045.039130090754
2.9000000000000004,0.38,3053.5828035989293
2.9000000000000004,0.4,3068.019591561524
2.9000000000000004,0.42000000000000004,3087.860045977572
2.9000000000000004,0.44,3112.6834395603196
2.9000000000000004,0.45999999999999996,3142.124149311705
2.9000000000000004,0.48,3175.861322553502
2.9000000000000004,0.5,3213.6109582052277
2.9000000000000004,0.52,3255.119769263633
2.9000000000000004,0.54,3300.1603662832963
2.9000000000000004,0.56,3348.5274285916607
2.9000000000000004,0.58,3400.034621520409
2.9000000000000004,0.6,3454.5120835370867
2.9000000000000004,0.62,3511.8043540648378
2.9000000000000004,0.64,3571.7686463488794
2.9000000000000004,0.66,3634.2733938451815
2.9000000000000004,0.68,3699.1970160352735
2.9000000000000004,0.7,3766.42686226351
2.9000000000000004,0.72,3835.8583015229506
2.9000000000000004,0.74,3907.3939330451035
2.9000000000000004,0.76,3980.9428977531898
2.9000000000000004,0.78,4056.4202745929865
2.9000000000000004,0.7999999999999999,4133.746548795573
2.9000000000000004,0.82,4212.847141490641
2.9000000000000004,0.84,4293.651991948415
