region,year,union_presence_rate,nonunion_hourly_wage,threat_effect_index
Great Lakes,2000,0.2973296767910418,19.565586466202816,0.7667773844603873
Great Lakes,2001,0.2991429129191392,19.430293356127034,0.6561996759360089
Great Lakes,2002,0.25315692962166125,20.42538239262093,0.6036714950722892
Great Lakes,2003,0.27167651592292347,20.69918742173027,0.5963888402655285
Great Lakes,2004,0.27786616606016,19.745192819793946,0.7263992266586429
Great Lakes,2005,0.2612775031341636,21.075280026213168,0.648969503510286
Great Lakes,2006,0.26668934320584714,21.893631662343417,0.718264930462505
Great Lakes,2007,0.27541622019348366,21.664647994095183,0.691267668413208
Great Lakes,2008,0.2549303250113453,22.32842670463935,0.700283781739685
Great Lakes,2009,0.2481814853068417,21.54593294905987,0.6088570057354414
Great Lakes,2010,0.2505444914090829,22.406770745690622,0.7703727091682935
Great Lakes,2011,0.2657788757648206,23.740579285315526,0.5709678936579896
Great Lakes,2012,0.24740512004812867,22.40240550439825,0.6173505412639476
Great Lakes,2013,0.2592678885354372,24.457512332910017,0.5700721409999612
Great Lakes,2014,0.23140641569007392,24.50663351359616,0.5794457468081692
Great Lakes,2015,0.22523941100054057,25.302464283953103,0.501610215344859
Great Lakes,2016,0.21837453859713404,24.828921321117065,0.5772109784859509
Great Lakes,2017,0.21385081170504877,24.867288527203417,0.6505737472520874
Great Lakes,2018,0.20892287029256962,26.118847312044362,0.5348348725078167
Great Lakes,2019,0.20247075981847157,26.38203981959568,0.5144397503210502
Great Lakes,2020,0.2012652960272671,26.220838526475173,0.4018238131064069
Great Lakes,2021,0.2040613814506346,27.304695089012682,0.5514213538371663
Great Lakes,2022,0.2064245983460201,27.46569203428829,0.5353350248049841
Great Lakes,2023,0.18236113151543404,27.218933087457852,0.4689580915930151
Great Lakes,2024,0.199396171600787,28.134502206327543,0.5842752650651116
Mid-Atlantic,2000,0.2501733911874209,18.839232976976568,0.5852839736631791
Mid-Atlantic,2001,0.23133653054291534,19.769099983769333,0.5314022306850862
Mid-Atlantic,2002,0.24017640884017835,19.177823449064135,0.5644134667189196
Mid-Atlantic,2003,0.21267987745010386,20.93007256561914,0.5104429515074235
Mid-Atlantic,2004,0.23901729204578162,19.895725032030057,0.5641951815217823
Mid-Atlantic,2005,0.24132399580870847,20.01108240501367,0.5281853648284902
Mid-Atlantic,2006,0.22068062612605446,21.274415595004868,0.4891224397907291
Mid-Atlantic,2007,0.2354301158792828,21.650866240021685,0.5574160620324031
Mid-Atlantic,2008,0.21516513042563884,22.1343588879203,0.47194210880591314
Mid-Atlantic,2009,0.22368103788096771,22.036109855924153,0.5309138802706287
Mid-Atlantic,2010,0.20125085504400667,22.370385657510845,0.5196376166167039
Mid-Atlantic,2011,0.2004184526445333,22.039871039284133,0.5808606601388282
Mid-Atlantic,2012,0.21486677414545108,23.01737906192571,0.5950769939217585
Mid-Atlantic,2013,0.21532675776686203,22.974561310554897,0.4797287601017089
Mid-Atlantic,2014,0.18516822971618635,24.2725264545146,0.5266567885418576
Mid-Atlantic,2015,0.1793851973516024,25.1107244201065,0.4376571337654157
Mid-Atlantic,2016,0.17639876730853085,24.75716019455425,0.48319284475107366
Mid-Atlantic,2017,0.18239410632927644,25.064817643992523,0.48751019006903523
Mid-Atlantic,2018,0.16200602162813224,26.307687107054104,0.47271364290248047
Mid-Atlantic,2019,0.1706046716129299,26.541466058920314,0.4597413103294225
Mid-Atlantic,2020,0.172107142340047,26.561872397036574,0.4599405853966383
Mid-Atlantic,2021,0.15868127152424555,27.03414240364223,0.4488530498896752
Mid-Atlantic,2022,0.15335169845842744,27.380356525134694,0.45647431183585974
Mid-Atlantic,2023,0.15791806632040237,27.905386165266666,0.5412548391336712
Mid-Atlantic,2024,0.1459160244455448,27.166319980090663,0.41332138222245945
South Atlantic,2000,0.1620845970345682,18.20818562221108,0.4208325356766554
South Atlantic,2001,0.16015527595380852,20.135327240150446,0.5552086161937781
South Atlantic,2002,0.13881451390413996,18.354908441830403,0.35310739511690586
South Atlantic,2003,0.14217634667046639,19.692174192895603,0.3956997382093167
South Atlantic,2004,0.13832501569645234,20.14040796509492,0.5070493612313349
South Atlantic,2005,0.12810354684907108,20.709400290286577,0.42701927917517063
South Atlantic,2006,0.12236958331066117,21.570129640127533,0.4424853287892765
South Atlantic,2007,0.13055499706618232,21.77572801484977,0.47068314299629
South Atlantic,2008,0.13280904032028293,22.100447853540388,0.33797937583005494
South Atlantic,2009,0.1406419386289759,22.83934993695806,0.4080184094697083
South Atlantic,2010,0.12077051388352932,21.434220572226106,0.25243265901063194
South Atlantic,2011,0.12320343055303588,23.44540576084989,0.43173914259483087
South Atlantic,2012,0.11987532488558328,22.9028720398312,0.3212290883268471
South Atlantic,2013,0.12450680007170428,23.437654399744005,0.38193276393305975
South Atlantic,2014,0.10964564806877686,24.115491426411303,0.40695108513868955
South Atlantic,2015,0.09707919114322264,24.318178113644592,0.3841379867605661
South Atlantic,2016,0.08860737724533277,24.325028473834156,0.36641893583815044
South Atlantic,2017,0.10229641704717504,24.64929156281884,0.3416700002400702
South Atlantic,2018,0.09227549880474352,25.15522558637526,0.4257520293432376
South Atlantic,2019,0.09320142221727572,26.06790583204414,0.3505608136496656
South Atlantic,2020,0.06544941601584717,25.72263711923915,0.3495794286522301
South Atlantic,2021,0.07480861239515305,26.27551743098904,0.19022051208106844
South Atlantic,2022,0.0696636112280548,27.178443298009114,0.3194403214984959
South Atlantic,2023,0.07542671229621314,26.518496461049534,0.30186780883612635
South Atlantic,2024,0.06,28.093106606232677,0.3563059075519564
Pacific,2000,0.21063301253327543,18.758181691951165,0.5598278584927573
Pacific,2001,0.22380679199539052,19.398209753893177,0.5273065672497553
Pacific,2002,0.20958626045416986,19.954489340667134,0.48604101856010984
Pacific,2003,0.21772131318582794,20.693848669573264,0.575723786173733
Pacific,2004,0.2097951398956489,20.626195559963147,0.47524189353783525
Pacific,2005,0.22100174971176093,20.715532664613622,0.6238294152375115
Pacific,2006,0.19077359520351847,21.486470500848956,0.5215829634320979
Pacific,2007,0.17669688130891048,21.483635306402885,0.5028759957152272
Pacific,2008,0.19121097527160205,21.56136791684144,0.5576359623292199
Pacific,2009,0.18697097031323331,22.143031027340868,0.4494943410562498
Pacific,2010,0.1816123630353367,22.368457541307848,0.42743135860247294
Pacific,2011,0.1761472249920061,22.54714055077654,0.501372299124218
Pacific,2012,0.16065880184789982,23.506248738270532,0.5136538188356572
Pacific,2013,0.15352052151765502,22.833781035787673,0.4389955266147222
Pacific,2014,0.14427268362733758,24.132605535507484,0.45451058247351633
Pacific,2015,0.1609244299767289,24.590256880698945,0.48564175399759824
Pacific,2016,0.17077124293077495,25.201677258248825,0.46005179334189283
Pacific,2017,0.1575994398977983,25.152914773581244,0.46304469750616756
