locality,year,inspection_rate,compliance_index,mandated_benefit_value,formal_wage_index,formal_share,informal_share,low_wage_formalization_gain,wage_rigidity_index
Metro North,2006,0.5812810532164908,0.679080765700651,0.2526154796634003,0.9257353645798644,0.8021800188538588,0.1978199811461412,0.16875886294616663,0.18
Metro North,2007,0.5915208145944841,0.7454517062679353,0.24765332291928158,0.9088411131476173,0.7600200507230929,0.23997994927690713,0.23131558628149876,0.18
Metro North,2008,0.5984512964184902,0.7710139486308996,0.2695244886810181,0.908697573272428,0.8073593388127139,0.19264066118728607,0.20081842554395,0.18
Metro North,2009,0.614231826857141,0.7965127994797645,0.2592013036627739,0.9164843505225597,0.8012087049755677,0.19879129502443227,0.20147465212883772,0.18
Metro North,2010,0.5775409641051992,0.8110589889051262,0.2530018228077588,0.950476164507409,0.7770829542056836,0.22291704579431637,0.20779202541583414,0.18
Metro North,2011,0.5706905693769737,0.7527326096749422,0.2668225390617524,0.903240428304063,0.7817634319626389,0.21823656803736113,0.1969899058758519,0.18
Metro North,2012,0.571130115914821,0.6736276961482945,0.2260360141179876,0.9670258877810315,0.7966647153224806,0.20333528467751938,0.22057071840167106,0.18
Metro North,2013,0.5875527840980695,0.699172749105181,0.22553941672157993,0.9454698426534747,0.8097494806417487,0.19025051935825132,0.2077365659180991,0.18
Metro North,2014,0.591645538897369,0.7157840020798119,0.2595913013296986,0.8952956202266433,0.7861253564456487,0.21387464355435126,0.17474268877818075,0.18
Metro North,2015,0.5662734820755644,0.7005898834925322,0.2321822950761547,0.9463080257890676,0.7913280093210836,0.2086719906789164,0.17210211004472042,0.18
Metro North,2016,0.6029882306955495,0.7757027898042012,0.26315580963285595,0.9244712063060838,0.8334610083601105,0.1665389916398895,0.17728596379115708,0.18
Metro North,2017,0.5355529067096718,0.695004149028262,0.211402550159333,0.9411639991574212,0.7968828722700337,0.20311712772996626,0.16434706271590277,0.18
Metro North,2018,0.5817471106977761,0.6956830994804378,0.2384968931946197,0.9124172093635976,0.8015878452383242,0.19841215476167584,0.21289475962917118,0.18
Metro North,2019,0.56310562510251,0.6893901225760117,0.244547342535794,0.9194035162344772,0.7784694606046688,0.22153053939533118,0.18624684873958133,0.18
Metro North,2020,0.5693976395762493,0.7619227950095655,0.26224488709322147,0.9117017297705432,0.82631185700948,0.17368814299052004,0.20615680301365144,0.18
Metro North,2021,0.588865911020385,0.6490962908682423,0.23731140761489172,0.9399269858576189,0.764496205061073,0.23550379493892704,0.17599092406012976,0.18
Metro North,2022,0.5888675189538868,0.6997856581789593,0.23465425323906902,0.8831173023183709,0.7731439350369123,0.22685606496308774,0.1624408958096002,0.18
Metro North,2023,0.5798672515647723,0.7431269527439398,0.2558277078730968,0.9634719058719375,0.8151458183370345,0.18485418166296552,0.20322595711747488,0.18
Metro North,2024,0.5948009738681531,0.7378909723219494,0.2534002345043454,0.9289560445967778,0.822574482666718,0.17742551733328205,0.18781620471639077,0.18
Industrial Belt,2006,0.6362524760243732,0.7926084233438391,0.2585226901110661,0.9216086456521004,0.8373760413678856,0.16262395863211443,0.1968810608506501,0.15
Industrial Belt,2007,0.6204018251648677,0.7090047162210862,0.22940772617030353,0.9461015569907899,0.8540089736728161,0.14599102632718386,0.18497693424019798,0.15
Industrial Belt,2008,0.6754638857595141,0.7552392646935775,0.23583883424641452,0.890959729224515,0.8601095571166169,0.13989044288338315,0.21210620793719073,0.15
Industrial Belt,2009,0.6277972677119605,0.8032611010980377,0.2741094130660666,0.9410665657296161,0.8352563810458449,0.16474361895415512,0.19410857871624543,0.15
Industrial Belt,2010,0.6597645820866634,0.7974146629141027,0.2390540859809871,0.8960978718776177,0.8513528884760164,0.14864711152398358,0.21870029042612574,0.15
