applicant_id,neighborhood,age,prior_work_months,school_enrolled,neighborhood_unemployment,baseline_risk,program_offer,offer_probability_true,treatment_logit_effect,true_cate,summer_employed
1,central,17,0.632171919038218,0,0.22,0.6187391632331095,1,0.65271424827771,1.5424869958797314,0.35384913215699454,1
2,inner_ring,16,0.9079199688825386,0,0.11383440509566783,0.5526777231334145,0,0.5514379249646931,1.4632132677600973,0.33232400407348517,0
3,outer_ring,20,0.09451094519962477,0,0.10439001663314912,0.667790211974016,1,0.7603467359768,1.6013482543688191,0.36632248165691983,0
4,inner_ring,16,2.2536501746027278,1,0.14911584988650176,0.6892709450389873,1,0.6296172298744848,1.6271251340467847,0.38564822938234106,0
5,outer_ring,16,4.836323274489148,1,0.08141300630465079,0.5112095823960651,0,0.5092111974633509,1.4134514988752782,0.33525916957903956,1
6,inner_ring,18,0.10997937636685884,0,0.16554625161091865,0.37424424046077864,1,0.6220230777070277,1.2490930885529343,0.2873695487758381,1
7,central,20,7.365861363000879,1,0.21391069980059843,0.39570671259054474,1,0.5096873587246565,1.1748480551086535,0.2691050578166418,1
8,suburban,17,1.9253383928901409,1,0.055625425207370675,0.45438666298473057,1,0.4838587122444402,1.3452639955816768,0.3235718232113146,1
9,inner_ring,16,2.8562872394618704,0,0.13405394486662764,0.30890060437760014,1,0.6728108176559873,1.1706807252531202,0.2835863087173083,0
10,inner_ring,17,0.7886129321677919,1,0.14171255267720267,0.5494735278832693,1,0.5269581826644654,1.4593682334599232,0.34925463477019386,0
11,central,17,8.448191862993154,1,0.15272505935266867,0.26415476339136124,1,0.4671590831892642,1.0169857160696334,0.21722020232807226,0
12,central,16,4.330102545253384,0,0.22,0.6323969769685764,0,0.5561308364016053,1.5588763723622918,0.36593710969992965,1
13,central,16,1.8795621840390417,1,0.1963466120026259,0.7908590940898825,1,0.6124691437260772,1.749030912907859,0.40828776537169037,1
14,central,17,3.246034148643825,1,0.13719877652565415,0.17511213438304923,0,0.49629498634057534,1.010134561259659,0.24599781495146705,1
15,central,19,4.041762871991638,0,0.22,0.5827195455090072,1,0.6169893873742754,1.4992634546108086,0.35779219692385045,1
16,outer_ring,16,0.3965000810919558,1,0.11514458412866786,0.784559768517787,1,0.5602559858208799,1.7414717222213443,0.3940926449758788,0
17,inner_ring,19,6.122705460870214,1,0.1406303884864659,0.16487715031657707,1,0.397226993823112,0.9978525803798926,0.2268343126518232,0
18,central,19,5.607541942799103,1,0.2137378405436351,0.8064179256437448,0,0.6012541696593534,1.7677015107724938,0.4151453681331069,0
19,suburban,17,0.9569746840342954,0,0.09682423298745174,0.4423804629275606,0,0.4984773703926252,1.3308565555130727,0.30703554848850234,0
20,central,19,2.859792023941662,0,0.16346350647827387,0.5823594131767834,0,0.6669038970096973,1.4988312958121401,0.35799387346066514,0
21,inner_ring,18,1.1217255690790942,1,0.15028899393900375,0.5361402929612563,1,0.5731385762460236,1.4433683515535076,0.3455430511868578,0
