bin_left,bin_right,bin_center,count,centered,counterfactual_count,fit_sample,bunching_window,missing_window,excess_count
30000,30500,30250.0,195,-1.975,1.0,False,False,False,194.0
30500,31000,30750.0,251,-1.925,1.0,False,False,False,250.0
31000,31500,31250.0,257,-1.875,1.0,False,False,False,256.0
31500,32000,31750.0,226,-1.825,53.61510907940229,False,False,False,172.3848909205977
32000,32500,32250.0,281,-1.775,112.26633782210446,False,False,False,168.73366217789555
32500,33000,32750.0,308,-1.725,166.79353411271117,False,False,False,141.20646588728883
33000,33500,33250.0,288,-1.675,217.36000630009204,False,False,False,70.63999369990796
33500,34000,33750.0,361,-1.625,264.1259437842206,False,False,False,96.87405621577938
34000,34500,34250.0,354,-1.575,307.2484170161748,True,False,False,46.75158298382519
34500,35000,34750.0,404,-1.525,346.88137749813717,True,False,False,57.11862250186283
35000,35500,35250.0,396,-1.475,383.17565778339446,True,False,False,12.824342216605544
35500,36000,35750.0,405,-1.425,416.27897147633814,True,False,False,-11.278971476338143
36000,36500,36250.0,427,-1.375,446.3359132324639,True,False,False,-19.335913232463895
36500,37000,36750.0,468,-1.325,473.48795875837163,True,False,False,-5.487958758371633
37000,37500,37250.0,448,-1.275,497.8734648117662,True,False,False,-49.87346481176621
37500,38000,37750.0,456,-1.225,519.6276692014561,True,False,False,-63.627669201456115
38000,38500,38250.0,502,-1.175,538.882690787355,True,False,False,-36.882690787355045
38500,39000,38750.0,568,-1.125,555.7675294804808,True,False,False,12.232470519519211
39000,39500,39250.0,568,-1.075,570.4080662429552,True,False,False,-2.408066242955215
39500,40000,39750.0,532,-1.025,582.9270630880051,True,False,False,-50.92706308800507
40000,40500,40250.0,593,-0.975,593.4441630799613,True,False,False,-0.44416307996129945
40500,41000,40750.0,601,-0.925,602.0758903342593,True,False,False,-1.0758903342592703
41000,41500,41250.0,586,-0.875,608.9356500174388,True,False,False,-22.935650017438775
41500,42000,41750.0,631,-0.825,614.1337283471443,True,False,False,16.866271652855744
42000,42500,42250.0,611,-0.775,617.7772925921239,True,False,False,-6.777292592123899
42500,43000,42750.0,581,-0.725,619.9703910722311,True,False,False,-38.97039107223111
43000,43500,43250.0,638,-0.675,620.8139531584231,True,False,False,17.186046841576854
43500,44000,43750.0,612,-0.625,620.405789272762,True,False,False,-8.405789272762036
44000,44500,44250.0,631,-0.575,618.8405908884138,True,False,False,12.159409111586228
44500,45000,44750.0,656,-0.525,616.2099305296493,True,False,False,39.79006947035066
45000,45500,45250.0,627,-0.475,612.6022617718436,True,False,False,14.397738228156413
45500,46000,45750.0,656,-0.425,608.1029192414762,True,False,False,47.89708075852377
46000,46500,46250.0,630,-0.375,602.7941186161308,True,False,False,27.205881383869155
46500,47000,46750.0,679,-0.325,596.7549566244961,True,False,False,82.24504337550388
47000,47500,47250.0,626,-0.275,590.0614110463646,True,False,False,35.93858895363542
47500,48000,47750.0,595,-0.225,582.7863407126332,True,False,False,12.213659287366795
48000,48500,48250.0,648,-0.175,574.9994855053039,True,False,False,73.00051449469606
48500,49000,48750.0,904,-0.125,566.7674663574824,False,True,False,337.23253364251764
49000,49500,49250.0,2126,-0.075,558.1537852533792,False,True,False,1567.8462147466207
49500,50000,49750.0,2645,-0.025,549.2188252283089,False,True,False,2095.781174771691
50000,50500,50250.0,441,0.025,540.019850368691,False,True,False,-99.01985036869098
50500,51000,50750.0,116,0.075,530.6110058120486,False,True,False,-414.6110058120486
51000,51500,51250.0,141,0.125,521.0433177470102,False,False,True,-380.0433177470102
51500,52000,51750.0,168,0.175,511.36469341330815,False,False,True,-343.36469341330815
52000,52500,52250.0,204,0.225,501.6199211017789,False,False,True,-297.6199211017789
52500,53000,52750.0,213,0.275,491.8506701543642,False,False,True,-278.8506701543642
53000,53500,53250.0,270,0.325,482.0954909641094,False,False,True,-212.0954909641094
53500,54000,53750.0,294,0.375,472.3898149751646,False,False,True,-178.3898149751646
54000,54500,54250.0,273,0.425,462.7659546827843,False,False,True,-189.7659546827843
54500,55000,54750.0,303,0.475,453.25310363332727,True,False,False,-150.25310363332727
55000,55500,55250.0,326,0.525,443.8773364242571,True,False,False,-117.87733642425712
55500,56000,55750.0,347,0.575,434.66160870414114,True,False,False,-87.66160870414114
56000,56500,56250.0,353,0.625,425.6257571726519,True,False,False,-72.6257571726519
56500,57000,56750.0,406,0.675,416.78649958056553,True,False,False,-10.786499580565533
57000,57500,57250.0,403,0.725,408.15743472976317,True,False,False,-5.1574347297631675
57500,58000,57750.0,415,0.775,399.74904247323013,True,False,False,15.250957526769866
58000,58500,58250.0,375,0.825,391.5686837150561,True,False,False,-16.568683715056125
58500,59000,58750.0,406,0.875,383.6206004104354,True,False,False,22.379399589564628
59000,59500,59250.0,438,0.925,375.90591556566636,True,False,False,62.09408443433364
59500,60000,59750.0,415,0.975,368.4226332381523,True,False,False,46.57736676184771
60000,60500,60250.0,416,1.025,361.16563853640037,True,False,False,54.834361463599635
60500,61000,60750.0,391,1.075,354.12669762002247,True,False,False,36.87330237997753
