parent,event_time,mean_log_earnings,mean_hours,mean_participation
father,-5,3.8515995833333334,41.04982,0.9687370833333334
father,-4,3.8524883333333335,41.0112675,0.96912875
father,-3,3.857604166666667,41.00767291666667,0.9703495833333334
father,-2,3.855177916666667,41.06654208333334,0.9687175
father,-1,3.8533487500000003,41.07343041666666,0.9701716666666668
father,0,3.8526995833333335,40.80533666666667,0.9702758333333333
father,1,3.85702,40.883206666666666,0.9685654166666667
father,2,3.8582325,40.91943958333333,0.9649008333333333
father,3,3.8590233333333335,40.97354541666667,0.96424625
father,4,3.8563625000000004,41.02643583333334,0.96401375
father,5,3.8562195833333335,41.005071666666666,0.9637212500000001
father,6,3.8579220833333334,41.04419291666667,0.9627741666666666
father,7,3.86238375,41.091788333333334,0.96224875
father,8,3.8638125,41.120361249999995,0.9621558333333333
father,9,3.8611525,41.077779166666666,0.9620625
father,10,3.8619425,41.13027291666666,0.9605466666666668
mother,-5,3.6348287499999996,35.45953041666667,0.9302445833333334
mother,-4,3.6287908333333334,35.453212083333334,0.9297670833333334
mother,-3,3.6303816666666666,35.46777,0.93145625
mother,-2,3.6277583333333334,35.49859291666667,0.9309041666666666
mother,-1,3.6281908333333335,35.4819275,0.9300458333333333
mother,0,3.5479737499999997,32.08424541666667,0.9301166666666667
mother,1,3.463801666666667,30.71894166666667,0.8622333333333334
mother,2,3.4145629166666667,29.81242375,0.8217070833333333
mother,3,3.382410833333333,29.264400833333333,0.7965779166666667
mother,4,3.3613575,28.859379166666667,0.7831520833333333
mother,5,3.350849166666667,28.539339583333334,0.774045
mother,6,3.34364625,28.39396125,0.76932
mother,7,3.3379854166666667,28.26169625,0.7660012500000001
mother,8,3.3339100000000004,28.244586666666667,0.7624195833333334
mother,9,3.33199875,28.128136666666666,0.7623754166666666
mother,10,3.3287779166666667,28.135987083333337,0.76010625
