applicant_id,population,region,demographic_group,age,education_years,months_unemployed,prior_earnings,digital_skill,local_unemployment,baseline_risk,training_cost,propensity_true,training_offer,true_y0,true_y1,true_effect,true_net_effect,earnings_12mo
1,source,central_city,group_b,40,14.368320508880666,11.85553176418762,29139.62944264439,-0.23149991915219664,0.0709607995410779,0.6652437274936561,1703.3359863577307,0.704058629688538,1,27954.842061470285,33264.109444437294,5309.267382967012,3605.9313966092814,33264.109444437294
2,source,rural,group_a,44,12.822811357347886,4.149114736316377,27375.213035574066,-1.3130789470840327,0.10883854822593322,0.5718984072072762,1965.7767016503492,0.6442909707153404,1,17564.771098474743,22138.64281595258,4573.871717477837,2608.0950158274873,22138.64281595258
3,source,suburban,group_b,25,12.927029851208435,1.021906354804386,29333.370885781726,0.694272757742474,0.07249818757619626,0.23101603765759024,1381.520156245302,0.4951749865097919,0,39899.9985696052,42051.28196542467,2151.283395819469,769.7632395741673,39899.9985696052
4,source,suburban,group_a,36,10.329691265782493,3.2614154111609386,23248.46580714642,-0.4449885162002875,0.03907334716700192,0.3845613844251636,1571.86933124045,0.555358009425674,0,25671.78732241355,29271.506521424402,3599.7191990108504,2027.8498677704004,25671.78732241355
5,source,suburban,group_a,35,14.477449805594857,0.8315821528091626,34475.18049713573,-0.17714078495303803,0.05155454736727583,0.21977540436865284,1459.6682581711943,0.496156839765581,0,29417.07716675904,31509.909269476037,2092.832102716995,633.1638445458007,29417.07716675904
6,source,central_city,group_b,36,11.142294579959104,2.7524399754610367,27848.197949846515,0.051993045189331566,0.07003226802799521,0.34730610505587683,1288.5304330585152,0.6106495223673948,1,24865.29077326814,27621.2825195587,2755.9917462905596,1467.4613132320444,27621.2825195587
7,source,central_city,group_b,41,14.864949909954705,2.9676290153654947,40658.58941519701,0.5864615188753111,0.07837356574658871,0.2202219440202537,1331.0480804484687,0.5517371960036687,1,38895.29185114946,40990.44596005478,2095.154108905319,764.1060284568503,40990.44596005478
8,source,rural,group_b,38,12.702100588673801,6.245241828949143,23453.74239197234,0.32049208836742216,0.08936098611968127,0.5160874576176591,1929.5790189131394,0.5928626125555895,0,25514.188668713574,29147.843448325402,3633.654779611827,1704.0757606986876,25514.188668713574
9,source,rural,group_a,40,12.803229048255796,2.5396147591198277,31655.058612259985,0.3412591874577593,0.10973272320944756,0.30257328299531006,1830.193148420613,0.4966332063117576,1,32437.532393567726,34960.91346514334,2523.3810715756126,693.1879231549997,34960.91346514334
10,source,central_city,group_b,32,11.75217502852918,5.573247683511464,27839.132779479376,0.42257525608469604,0.07386503892477597,0.3999487438666306,1390.9157910899999,0.6091825747677871,0,31439.263056576383,34468.996524682865,3029.733468106479,1638.8176770164791,31439.263056576383
11,source,central_city,group_a,35,11.424751309870567,4.7044715651814,31574.45635046389,0.4523055923417401,0.06859142472511166,0.29579237347349135,1492.128581981035,0.5445679558880419,1,30198.249138125248,32686.3694801874,2488.120342062155,995.99176008112,32686.3694801874
12,source,central_city,group_a,31,15.088638790131304,7.136169166315507,32556.75023996921,1.6880241930133482,0.07875869516719083,0.24911993188487255,1493.2045959574764,0.4756800979242569,1,43011.97539162333,44307.39903742467,1295.4236458013374,-197.78095015613894,44307.39903742467
13,source,central_city,group_b,34,11.031219323108456,5.458299275692702,32884.623756232846,0.4090414501404612,0.0902739280232991,0.37070126218227145,1390.2129934696554,0.6017300762108793,0,24409.082155210963,27286.728718558774,2877.6465633478115,1487.433569878156,24409.082155210963
14,source,suburban,group_b,24,13.682571097772833,2.392194606053758,27297.54330776529,-0.4354987785095805,0.09458851208537562,0.41515328836548615,1500.3796477974365,0.5976820102199452,1,33172.24354752099,36931.040647021524,3758.797099500528,2258.4174517030915,36931.040647021524
15,source,suburban,group_a,42,12.568027353319579,4.162189354242735,30333.936744838917,0.9109903165276001,0.06736401648927204,0.24733724183949615,1503.2991612266653,0.45523507713103456,0,33552.65990589314,35788.81356345852,2236.15365756538,732.8544963387146,33552.65990589314
16,source,central_city,group_a,47,13.553477730054494,3.3795699241699517,35174.178695743845,1.9609133149658775,0.0400235850551923,0.12187587832178025,1462.9532305662706,0.4273167728606332,1,37355.79595296466,37989.55052023792,633.7545672732572,-829.1986632930134,37989.55052023792
17,source,central_city,group_b,31,14.057964619630308,4.166442894384357,27540.750592563876,-0.3226409254426392,0.0787426547979689,0.4442775334977063,1401.8170482841965,0.6522614400041039,1,31267.31377039835,34527.556944586424,3260.2431741880728,1858.4261259038763,34527.556944586424
