posting_id,category,requester,week,wage,log_wage,applicants,fill_prob,filled
1,data-tagging,Aster,1,10.86029309323079,2.3851133024685716,124,0.5370869315497871,0
2,data-tagging,Aster,2,14.21645716557655,2.6544002488592313,156,0.6400723169343934,1
3,data-tagging,Aster,3,12.032651327101783,2.4876238986464223,164,0.6944147323500479,0
4,data-tagging,Aster,4,13.48636134175477,2.601678903795557,125,0.687134755301609,1
5,data-tagging,Aster,5,12.033095556548862,2.4876608166319123,106,0.6209084959860272,1
6,data-tagging,Aster,6,11.511286612180557,2.4433279986048424,122,0.6012671239020856,0
7,data-tagging,Aster,7,13.89485121145711,2.631518355073595,217,0.6918367142900751,1
8,data-tagging,Aster,8,9.659969014183496,2.267990440577822,110,0.6444852077859217,1
9,data-tagging,Aster,9,12.408700836867672,2.5183979069409568,123,0.6175852853281454,0
10,data-tagging,Aster,10,10.587479101039206,2.3596720860484046,150,0.6174044987638941,1
11,data-tagging,Aster,11,9.25640437023462,2.225315676300401,99,0.5386812857667072,0
12,data-tagging,Aster,12,13.5404686966009,2.6056828825867107,232,0.5118018212936122,0
13,data-tagging,Aster,13,11.172355270244465,2.413442447635005,116,0.6283658172206493,1
14,data-tagging,Aster,14,9.590147650264706,2.2607362850505175,102,0.5046130324879173,1
15,data-tagging,Aster,15,15.216930576379882,2.722408661686648,177,0.666900694685276,0
16,data-tagging,Aster,16,11.780808168945779,2.4664717810438788,114,0.6875323563380988,0
17,data-tagging,Aster,17,12.228620708126734,2.50377916395444,121,0.6342007709424805,1
18,data-tagging,Aster,18,10.871949054246178,2.386185990878167,102,0.7094218372004063,1
19,data-tagging,Aster,19,11.8890858629367,2.475620824899004,137,0.6630290558615562,1
20,data-tagging,Aster,20,8.955874155526002,2.192309647222646,86,0.5734709080995083,1
21,data-tagging,Beacon,1,12.142513401804177,2.496712798947607,189,0.5470103661087943,1
22,data-tagging,Beacon,2,12.782156860321892,2.5480502031228958,150,0.6585290456719718,0
23,data-tagging,Beacon,3,12.77466976694014,2.547464285809675,133,0.5804607541399563,1
24,data-tagging,Beacon,4,15.76387251990527,2.7577207725140447,181,0.6633134409911863,0
25,data-tagging,Beacon,5,11.479368316820977,2.4405513647103456,137,0.6398692272782324,0
26,data-tagging,Beacon,6,15.643955066687143,2.750084584649763,213,0.6656273050802174,1
27,data-tagging,Beacon,7,13.365154234848692,2.592650889729958,139,0.7343590773767791,0
28,data-tagging,Beacon,8,12.275540135089136,2.5076086755710723,105,0.6605582202927044,1
29,data-tagging,Beacon,9,14.18724633959245,2.652343415934119,170,0.6975761179009695,1
30,data-tagging,Beacon,10,11.530148511727175,2.4449652146600425,115,0.6426795876010669,1
31,data-tagging,Beacon,11,12.962468848693035,2.562058170366107,164,0.6493859155534643,0
32,data-tagging,Beacon,12,8.554450669171025,2.14645169361342,79,0.667627294856766,1
33,data-tagging,Beacon,13,12.30487764139776,2.5099957399819384,127,0.6823400527709154,1
34,data-tagging,Beacon,14,13.971425847624399,2.6370142330301305,185,0.7211676414291776,0
35,data-tagging,Beacon,15,13.949445941084193,2.6354397899936104,226,0.6796326235574671,0
36,data-tagging,Beacon,16,14.239022535087669,2.6559862614289464,164,0.7125667914152296,0
37,data-tagging,Beacon,17,13.504339572632196,2.603011083615065,123,0.6827423176341826,0
38,data-tagging,Beacon,18,12.392502409236181,2.5170916453234007,108,0.6502710082991083,1
39,data-tagging,Beacon,19,13.552299140361454,2.6065562111874407,163,0.6877197171700173,1
40,data-tagging,Beacon,20,12.312972669433337,2.5106533951569543,121,0.5604791256551023,0
41,data-tagging,Cobalt,1,10.764226354439845,2.3762282614841217,134,0.597444496269321,0
42,data-tagging,Cobalt,2,18.928094029920484,2.9406472749921027,292,0.7461553878374965,1
43,data-tagging,Cobalt,3,12.897539837893142,2.5570365829392743,175,0.7140944839271217,0
44,data-tagging,Cobalt,4,14.219894537074113,2.6546420078267845,171,0.656051352272952,1
45,data-tagging,Cobalt,5,15.33207290172976,2.729946902381108,202,0.7135059053923128,1
46,data-tagging,Cobalt,6,15.614373405793039,2.748191862218923,154,0.6568444910076849,0
47,data-tagging,Cobalt,7,15.224864136968952,2.722929889875944,236,0.7031110974212614,1
48,data-tagging,Cobalt,8,15.369359744301862,2.732375900489098,178,0.7439523011666596,1
49,data-tagging,Cobalt,9,16.367408204701853,2.7952920529289207,257,0.6847660363106917,1
50,data-tagging,Cobalt,10,14.477987065331268,2.6726293624689252,209,0.7331920836541268,1
51,data-tagging,Cobalt,11,12.42307186725631,2.5195553782310114,140,0.676241976712902,1
52,data-tagging,Cobalt,12,16.16892442861402,2.78309115490261,218,0.7483621447871425,0
53,data-tagging,Cobalt,13,14.023665004247018,2.6407462600152454,160,0.7189375849510502,1
54,data-tagging,Cobalt,14,13.089758417664635,2.571830124263699,170,0.5661554121699331,1
55,data-tagging,Cobalt,15,14.283446718548872,2.6591012946323067,160,0.6407974677315796,0
56,data-tagging,Cobalt,16,14.09240680174416,2.645636127628621,161,0.6791346384636829,1
57,data-tagging,Cobalt,17,10.79656373191009,2.379227910531127,110,0.5360426820522953,1
58,data-tagging,Cobalt,18,15.33586342744202,2.730194100346493,177,0.5918258152668369,0
59,data-tagging,Cobalt,19,13.8290006009452,2.6267678799379546,146,0.6673912813175844,1
60,data-tagging,Cobalt,20,13.705248789855627,2.617778882808196,159,0.6447699167684207,0
61,data-tagging,Delta,1,12.588245907223172,2.532763514062448,158,0.6675119790735035,0
62,data-tagging,Delta,2,13.69086530770421,2.616728844585857,169,0.6504757490686184,0
63,data-tagging,Delta,3,11.424078801513762,2.435723303465049,121,0.6667146054678502,1
64,data-tagging,Delta,4,15.678183446757151,2.75227015660107,178,0.7654338179728621,1
65,data-tagging,Delta,5,16.253789113632052,2.788326057817907,259,0.6279383557211805,0
66,data-tagging,Delta,6,15.977131210164933,2.7711584004524044,220,0.6226744241590145,0
67,data-tagging,Delta,7,18.83755721240938,2.9358526011031114,208,0.6567824534204382,0
68,data-tagging,Delta,8,13.506886476912364,2.6031996647837277,163,0.6303811462104687,0
69,data-tagging,Delta,9,15.373796205237285,2.7326645150329987,160,0.7232758584507153,1
70,data-tagging,Delta,10,15.028653299491785,2.709958598918272,209,0.63510302882862,1
71,data-tagging,Delta,11,15.081957106239939,2.713499135739807,179,0.7442289218754642,0
72,data-tagging,Delta,12,12.22526854610987,2.503505002081618,152,0.704122152951304,1
