worker_id,contract_arm,cognitive_score,baseline_skill,lambda_attention,true_piece_rate,perceived_piece_rate,rational_effort,observed_effort,output_units,effort_gap,cognitive_group
1,complex_bonus,1.693321053016527,-0.689813730449904,0.8293321053016527,1.45,1.3390658684460741,9.95025340918005,9.548682580550574,9.0,-0.4015708286294757,high
2,simple_piece_rate,0.6381669184030478,1.574044996354562,0.98,1.45,1.437,12.486563145938216,11.771418372460573,12.0,-0.7151447734776433,high
3,complex_bonus,1.7670488568556775,-1.513413756925321,0.8367048856855678,1.45,1.3438581756956192,8.841450054417958,7.418076793146455,8.0,-1.4233732612715029,high
4,simple_piece_rate,1.4592638245760863,1.16391411503048,0.98,1.45,1.437,12.405038055788324,11.531382089654164,12.0,-0.8736559661341605,high
5,complex_bonus,0.044840942442441994,0.14971984974677024,0.6644840942442443,1.45,1.2319146612587588,10.136512355110943,8.916560264667298,9.0,-1.2199520904436447,middle
6,simple_piece_rate,-1.7954661565139893,-0.24229712320958696,0.7404533843486011,1.45,1.2812946998265906,8.483504333598185,7.650364631719225,7.0,-0.8331397018789604,low
7,complex_bonus,0.8887868843035841,-2.0,0.7488786884303584,1.45,1.2867711474797328,7.633272130582151,7.120919809106635,7.0,-0.5123523214755163,high
8,complex_bonus,0.28063467971542333,1.5364036846925384,0.6880634679715424,1.45,1.2472412541815026,12.219345966398807,12.02660180366472,11.0,-0.1927441627340869,middle
9,complex_bonus,-0.3832623595975406,0.3519503459940126,0.621673764040246,1.45,1.20408794662616,10.162773068633093,10.712358194833742,11.0,0.5495851262006486,middle
10,simple_piece_rate,0.05923934032818217,0.10335642714363087,0.9259239340328183,1.45,1.401850557121332,10.080242602197993,10.673534518581443,11.0,0.5932919163834498,middle
11,simple_piece_rate,-0.6602447953613552,0.6327951087487363,0.8539755204638645,1.45,1.3550840883015118,10.389766275031418,12.232009297007162,13.0,1.8422430219757437,low
12,simple_piece_rate,-0.03239106413570145,-0.6688141365850412,0.9167608935864299,1.45,1.3958945808311793,8.944225570299523,8.60359979605911,8.0,-0.3406257742404133,middle
13,simple_piece_rate,0.09753263962663193,0.7189452364412888,0.9297532639626632,1.45,1.4043396215757311,10.965042914793784,9.595459276118238,9.0,-1.3695836386755467,middle
14,complex_bonus,-1.32856805508248,0.8411519176216954,0.527143194491752,1.45,1.1426430764196387,10.280471851620886,9.938559205315787,10.0,-0.341912646305099,low
15,simple_piece_rate,-0.1881862228073753,0.04461678828936797,0.9011813777192625,1.45,1.3857678955175206,9.84955176992069,10.34761141951944,11.0,0.4980596495987495,middle
16,simple_piece_rate,-0.38418233763724013,-1.3372581631753089,0.881581766236276,1.45,1.3730281480535795,7.797329168972224,6.990466966041507,7.0,-0.8068622029307173,middle
17,simple_piece_rate,0.7420258918606022,0.5477019971062708,0.98,1.45,1.437,11.111998331065141,10.113393786328245,10.0,-0.9986045447368959,high
18,simple_piece_rate,1.9642988019395664,1.0034370915996815,0.98,1.45,1.437,12.483391209403296,13.371193426159369,13.0,0.8878022167560733,high
