worker_id,lottery_win,region,baseline_rank,skill_index,credit_score,family_constraint,local_opportunity_gap,move_any,move_far,employer_switch,occupation_upgrade,move_distance_km,unemployment_days,wage_growth,lottery_label,gap_quartile
1,1,South,76.34335066041703,-0.9545295578407572,-0.11699290414472664,0.16829929579711433,0.5236246523672431,0,0,1,0,0.0,19.44493279053701,0.04799283222991339,winner,Q3
2,0,North,52.37020131203291,-0.30760122481803875,1.0043984414177791,0.8894280268756996,0.2064099780911247,0,0,1,1,0.0,35.06764320587475,0.024659682807435735,control,Q1
3,0,Midwest,56.23822510848234,0.9763841246534454,1.1469475033305174,0.08530319215029702,0.8975184846326963,0,0,1,0,0.0,23.087783806294127,0.02788233750423705,control,Q4
4,0,South,51.76279780477677,-0.9167507282207207,0.859674225405508,0.8014208683992172,0.849381506994162,0,0,1,0,0.0,28.250646762387504,0.03390015909053929,control,Q4
5,0,West,59.98712876824121,0.5626976153215848,-0.29582740252172984,0.9145728005558831,0.47376117692937136,0,0,1,0,0.0,31.241204707768485,0.03315553174401766,control,Q2
6,1,South,55.33702384825816,-0.7750345791761473,0.648094278937856,0.1022103864529732,0.6827508945659637,0,0,0,0,0.0,25.326466659533743,0.032561529760158595,winner,Q3
7,0,Midwest,13.256610537735893,-1.056508232290922,1.516030074718366,0.19486316001179338,0.5496946039501172,0,0,0,1,0.0,34.57246121836973,0.0285117027032161,control,Q3
8,0,Midwest,50.51030497852061,-0.4326486170433789,-0.09436796289879164,0.8525356450919853,0.7093608304005441,0,0,1,0,0.0,30.24518976782087,0.044388301259899406,control,Q3
9,1,South,28.17755560564402,1.1152768392453796,0.8483220803229449,0.8029640222047734,0.6360003709346163,0,0,1,1,0.0,18.821526362748365,0.05365121342871402,winner,Q3
10,1,North,66.99487856332608,1.1129301099225455,-0.659652523498001,0.13762979346756354,0.20596437264746104,0,0,0,0,0.0,36.56488138452985,0.056628180725883465,winner,Q1
11,0,South,27.260859329108573,0.5163852200578986,1.2133039189427146,0.4685604317585724,0.8795890941550166,0,0,0,0,0.0,26.29618657897435,0.029394682817640887,control,Q4
12,1,North,72.21157691378131,0.04417921319604676,-0.6608934806768365,0.029313512084281457,0.5965495676652688,0,0,1,0,0.0,19.7706957803921,0.05818013495517801,winner,Q3
13,1,South,52.86968028394136,-0.8071057986621436,-0.5641823875053437,0.1513134671420625,0.5887184275835752,0,0,0,1,0.0,27.161990879002204,0.057283775788895534,winner,Q3
14,0,South,70.04673733302566,-0.553374822756746,-0.13845692361712106,0.7430397350439347,0.6127698080272851,0,0,0,0,0.0,25.10317355617657,-0.02028728342989457,control,Q3
15,0,North,13.367507550353075,-0.44982488566177575,-0.3604854994624742,0.8738186749267294,0.2711083077733967,0,0,1,0,0.0,17.77367397788722,0.019598518565905974,control,Q2
16,1,North,85.26804199164809,0.1865661373870429,0.019011343411036757,0.9616580782607618,0.981314471066157,0,0,1,0,0.0,21.115901378065583,0.02333519879298123,winner,Q4
17,0,Midwest,79.76395834665139,1.2284812195766157,-1.7402337037512114,0.03077997665173504,0.354110178117479,0,0,0,0,0.0,17.563122044737753,0.026115427065490485,control,Q2
18,0,Midwest,89.61939573195379,0.9993810632799892,-2.627809710630958,0.1646700077737675,0.06876197841652543,0,0,0,0,0.0,18.228530732526952,0.03580251218402972,control,Q1
19,1,North,39.30482994951265,0.5294893349584653,0.44595285426323594,0.47700096212842535,0.6502805934214868,1,0,1,1,185.29262754772958,3.5944136302302176,0.06473342512522913,winner,Q3
20,1,South,36.78487830641183,-0.3830798769964861,-0.5088658302904422,0.6994044609837011,0.4635650330514778,1,0,1,0,188.70363082481762,19.91958533223314,0.068901259613455,winner,Q2
21,0,South,37.93531229132144,-0.46965136686892434,-0.2899943318063395,0.19258031129419884,0.5513217383541732,0,0,1,0,0.0,24.031535045133374,0.03473446761545153,control,Q3
22,0,South,45.80280871252799,-0.650869622055561,-0.029071425502106927,0.4346123365070297,0.8305954103388865,0,0,0,0,0.0,32.90610577928814,0.015011882807095216,control,Q4
23,0,West,17.358065735598373,0.8373956084515896,-0.7513540471327272,0.8362995566861655,0.06489859886496585,0,0,0,0,0.0,28.6050056383391,0.0304844465119835,control,Q1
24,0,Midwest,45.76200127116053,-0.44972279854491676,1.275933993736864,0.1413421906696981,0.7146208980700677,0,0,0,0,0.0,35.65237613346713,0.05726524142103444,control,Q3
25,1,South,64.57853770096325,-0.7713180116950985,0.19970456393341163,0.19986948955764916,0.35838392422899956,0,0,1,1,0.0,24.09185098932546,0.07129295661469039,winner,Q2
26,1,North,89.80787387050242,0.28671202621880626,0.6160071142322957,0.23412252801690026,0.8526786359283864,0,0,1,0,0.0,19.117450970123965,0.04686612997115547,winner,Q4
27,1,South,86.72335430087658,-0.9461015209282979,-0.907861753164697,0.7159691036234245,0.3741339361646183,0,0,1,1,0.0,25.24087095524179,0.06193459235962346,winner,Q2
28,0,Midwest,68.68248282478433,-2.153819185178069,-0.41754800350986626,0.5603951542055428,0.23140122458967471,0,0,0,0,0.0,27.004338519555393,-0.002656606590213611,control,Q1
29,1,North,26.308923357282055,0.602233595348895,-0.9274128422267452,0.5005694306344687,0.2454816737056964,0,0,1,0,0.0,23.22238957529834,0.041334173809946695,winner,Q1
30,1,South,85.2223748938153,-0.29293596053745014,0.7533023959563476,0.07591297857023027,0.5376986866399435,0,0,1,1,0.0,17.05748552110499,0.04430330080418294,winner,Q3
31,0,South,19.406345962583167,-1.949571375868907,0.1713298854629841,0.6506863355558122,0.23231067899421942,0,0,1,0,0.0,23.04095259071144,0.013527709039910499,control,Q1
32,0,West,71.63206130017502,-1.1020487332767352,-0.3871903935443703,0.7766620811605164,0.4857156034540876,0,0,0,0,0.0,34.40322761885593,0.03373089058556618,control,Q2
33,0,North,89.03729273226153,0.44552999283647815,0.4327304426224469,0.42297526062375124,0.7556305782569952,0,0,1,0,0.0,29.924415701772595,0.04434678278748751,control,Q4
