event_time,incentive_group,mean_sales_index,mean_profit_index,mean_attendance_rate
-2,control,99.0,99.0,0.9460000000000001
-1,control,100.0,99.33333333333333,0.9473333333333332
0,control,100.0,100.0,0.9476666666666667
1,control,101.0,100.0,0.9486666666666667
2,control,101.0,100.66666666666667,0.9486666666666667
3,control,102.0,101.0,0.9496666666666665
-2,treated,100.0,99.33333333333333,0.947
-1,treated,101.0,100.0,0.948
0,treated,106.66666666666667,105.66666666666667,0.955
1,treated,109.0,108.0,0.9576666666666666
2,treated,110.66666666666667,109.66666666666667,0.9593333333333334
3,treated,112.33333333333333,111.33333333333333,0.9603333333333333
