applicant_id,population,region,demographic_group,age,education_years,months_unemployed,prior_earnings,digital_skill,local_unemployment,baseline_risk,training_cost,propensity_true,training_offer,true_y0,true_y1,true_effect,true_net_effect,earnings_12mo
1,target,rural,group_b,38,9.0,6.624476959110647,17358.675401943532,-2.0860580424581348,0.14132208147311878,0.8366295911592847,1940.9665169981643,0.7422344049856832,1,16148.263976541566,20075.57673340023,3927.312756858664,1986.3462398605,20075.57673340023
2,target,central_city,group_b,53,12.007208251558232,6.322071963644393,20398.54576473188,-2.6,0.12523028277630652,0.8236689779654671,1487.042069339883,0.794981614038952,0,12985.591631841287,17221.408285343998,4235.8166535027085,2748.7745841628257,12985.591631841287
3,target,suburban,group_b,42,9.797263236363182,5.104791702322877,28584.043245917226,0.7871588280909219,0.08501435303435224,0.34970568472809443,1301.0594855653449,0.4951183922096744,0,27135.15389092883,29128.451974550815,1993.2980836219856,692.2385980566407,27135.15389092883
4,target,suburban,group_b,33,13.193903305817408,7.328145131899503,25188.22550359505,-1.5517084473181408,0.1098685380377625,0.7249197389716172,1373.694430101067,0.6969815447744013,1,18911.278816148075,22777.37831885781,3866.099502709734,2492.405072608667,22777.37831885781
5,target,rural,group_a,26,14.620976154657999,12.758720578100897,30247.76496997189,-0.5865548060287878,0.1279880684207598,0.7483676689474199,2075.6195460902923,0.6332541368479447,0,17665.755455253715,21884.15329508126,4218.397839827545,2142.7782937372526,17665.755455253715
6,target,rural,group_b,41,11.424041973324142,7.864937703853081,20476.527549171955,0.14610333317429075,0.13791223274679354,0.6574490977860346,2054.940580374011,0.6105840397571878,1,18272.457389982734,21155.822693584403,2883.36530360167,828.4247232276589,21155.822693584403
7,target,central_city,group_b,46,12.472305851302998,3.1084957717251305,26461.44010448033,0.17093503448483607,0.07972819184796168,0.3653619196251729,1503.878169677931,0.5816128697605167,1,33094.23229778994,35146.147324866586,2051.915027076647,548.0368573987162,35146.147324866586
8,target,rural,group_b,26,12.196784009087338,3.8662899813495066,32808.66260489755,0.27545343105847375,0.12288829076432937,0.3926737248580047,1974.6466210834308,0.5304605238953625,0,30461.08938334963,32435.7456070623,1974.6562237126723,0.009602629241499017,30461.08938334963
9,target,suburban,group_b,40,13.827049993934372,8.792701256197109,16870.046239600182,-0.6109926903494801,0.07624365599913832,0.710403713526192,1406.111801870339,0.6563212342436155,1,24444.715398827044,28904.466902269105,4459.751503442062,3053.639701571723,28904.466902269105
10,target,rural,group_b,36,10.378694475970784,8.39499628866699,6000.0,-2.6,0.13771682900004767,0.9236248392739692,1767.8590061543573,0.7773290392477414,1,10685.741952385426,15505.622400773687,4819.880448388261,3052.021442233904,15505.622400773687
11,target,rural,group_b,37,13.001606260975597,10.045282351872014,20078.826264807823,-0.8063615677702128,0.11273501120746024,0.7862845952882369,2132.764478178562,0.6833851084311867,1,14237.424360071233,18585.953091100462,4348.528731029229,2215.7642528506667,18585.953091100462
12,target,central_city,group_b,34,11.761583287653016,4.423815764796164,22843.849678621173,0.031696439353193606,0.10985877523009455,0.4826478146408653,1509.2437769808166,0.6199508531835682,0,26694.776398548187,29185.809816563586,2491.0334180153995,981.7896410345829,26694.776398548187
13,target,rural,group_b,49,14.109484679646938,6.009290120747476,28613.092066718218,0.4912542083612973,0.09822417896390807,0.4519167743224509,1955.1822444173415,0.537747672116061,1,24530.77415049354,26708.75251996819,2177.978369474651,222.7961250573096,26708.75251996819
14,target,rural,group_a,54,14.800825624781167,7.654126181453623,27982.29735465775,0.26853318401054105,0.12988133891946996,0.5234703513349414,1985.2767436120316,0.5333640805141044,0,26962.17513691272,29385.72538269424,2423.5502457815182,438.2735021694866,26962.17513691272
15,target,rural,group_a,30,14.393155001745345,5.5213175397294485,21930.5680705265,-1.1466311868060886,0.1243754961436362,0.6565337429697385,1904.014470113981,0.6321397582618087,1,20283.86024670065,23593.08405257279,3309.2238058721427,1405.2093357581618,23593.08405257279
16,target,suburban,group_b,27,13.467876916395824,6.1961357098618794,28057.775626355324,0.30192137902614036,0.08173133856155819,0.4393381492709241,1491.813909545851,0.5426195829410654,1,32346.191010114966,34675.073040985306,2328.88203087034,837.0681213244889,34675.073040985306
17,target,rural,group_b,34,10.955600911671658,11.016243182652266,11270.407974490905,-1.3035211920200689,0.0976356696628467,0.8713965867442963,2105.7035151259574,0.7224686020899537,1,6398.0374973974995,11038.670583103923,4640.633085706424,2534.9295705804666,11038.670583103923
18,target,rural,group_a,48,10.49938349339907,11.643454043228955,13354.18680787467,-2.5895872332613754,0.12853433681831858,0.9208615147113641,1972.8494603192212,0.7512175450392002,1,4911.927673913064,9722.324392402465,4810.396718489401,2837.5472581701797,9722.324392402465
19,target,rural,group_a,40,11.807921637390411,6.170366489910019,19821.56783543891,-1.0325154781153985,0.1445664104390036,0.6971058968063623,1902.3839744458244,0.6381917860126197,1,14436.531138571738,17884.998576411173,3448.4674378394343,1546.08346339361,17884.998576411173
20,target,central_city,group_b,39,12.986185305123168,11.253078636090978,25885.363947604255,-1.0804332366287392,0.09848792040545584,0.7710820708938196,1695.2625017811977,0.7352106327811322,1,22743.198236878172,27430.129510304632,4686.93127342646,2991.6687716452625,27430.129510304632
21,target,rural,group_a,37,12.701383958578443,2.3508523826589283,22498.158375482217,1.0098406532425654,0.09861949554941798,0.29114220944074876,1824.8368987393783,0.43365410831080003,0,33310.14264669442,34936.34270949507,1626.2000628006497,-198.6368359387286,33310.14264669442
