variable,source_mean,target_mean,target_minus_source
age,33.166666666666664,36.472857142857144,3.30619047619048
education_years,13.455529311235725,12.646713278056373,-0.8088160331793528
months_unemployed,5.221886109106248,6.565757414024902,1.343871304918654
prior_earnings,28622.479764161693,23862.83818487231,-4759.641579289382
digital_skill,0.10338544824468164,-0.4446432446059649,-0.5480286928506465
local_unemployment,0.07505879190906298,0.10277521396815019,0.027716422059087212
baseline_risk,0.40864812349955537,0.5755870775630012,0.16693895406344583
share_region_central_city,0.43333333333333335,0.25285714285714284,-0.1804761904761905
share_region_rural,0.16666666666666666,0.48,0.31333333333333335
share_region_suburban,0.4,0.2671428571428571,-0.1328571428571429
share_demographic_group_a,0.5777777777777777,0.3914285714285714,-0.18634920634920632
share_demographic_group_b,0.4222222222222222,0.6085714285714285,0.18634920634920632
