worker_id,region,occupation,experience_years,completed_tasks,rating,prior_log_wage,market_thickness,local_unemployment,skill_score,repeat_client_share,high_client_concentration,treatment_probability_true,true_effect,log_hourly_wage,future_client_rating
1,Northeast,design,0.9230276388230833,26,4.56319286058497,3.3115096158319632,0.7400311069468744,0.025,0.28793842743267994,0.28330777104290306,0,0.37029891835360995,-0.095,5.5322413830150765,4.69329870403783
2,Northeast,design,7.195775150539978,26,4.882343737358904,3.864070112494225,0.33590223520059215,0.04612041572899973,1.368905024161724,0.40142212300667734,0,0.4353031971971384,-0.102,6.065628073803367,5.0
3,West,software,3.4703000697039528,31,4.646079490148361,3.4403029229798725,0.6713277857025514,0.041667014081841716,0.5018556419439529,0.3042186006513592,1,0.32313470287521123,-0.095,5.901332412084011,4.638864870438157
4,South,admin,4.624554884880895,31,4.426955743439381,3.0036632201789764,0.7263213236366105,0.08335078876687387,3.2,0.36520710468742573,0,0.3791081660386291,-0.077,5.480581625853783,4.6047471007581855
5,South,software,3.5870647621021186,29,4.530419094024465,3.4421852761156075,0.8212436398953449,0.08727490905973548,2.1679650082543396,0.4476827273818509,1,0.28421984580410403,-0.077,5.211517691284085,4.498782877356579
6,South,data,6.615387873387906,37,4.573299317428847,3.5467895785661145,0.893887967172151,0.07578230230432002,1.5309312952707828,0.11059675922600343,0,0.21154800643474034,-0.077,6.01077400971546,4.686153792245835
7,South,design,5.607772532582922,29,4.843439681781864,3.393946539887327,0.4835659992425611,0.08627170656188311,1.861148448563237,0.2466902359494177,1,0.5437857612557147,-0.077,5.620903291456661,4.9200493207549565
8,West,software,3.21213712888117,32,4.673273058502076,3.5877806011522027,0.43772628202465813,0.04640120638387487,0.978338561614255,0.3861430369713302,1,0.4425413220908384,-0.095,5.820568715212259,4.765177112603834
9,South,design,2.1140926227132426,25,4.426209826771711,3.355995138849206,0.5962655124735702,0.09973549416810196,-0.15181230942491653,0.3248268757912375,1,0.5232228054519886,-0.095,5.135648783182117,4.397197233659325
10,Midwest,design,7.936966793132492,47,5.0,3.7115492580940272,0.5912966639181896,0.06494172845111428,0.22750922430108406,0.471845306247337,0,0.5251981410965648,-0.095,5.727499120529446,5.0
11,Midwest,writing,10.057012473590223,37,4.762579745993718,3.447104078016741,0.6117732836303456,0.05113368939303685,2.942803152777483,0.3934210151276999,0,0.18008400860800985,-0.077,6.197011161331394,4.824204241130906
12,West,operations,4.762107463521793,25,4.467600069263925,3.328418331706844,0.7332989326106365,0.05522034982773178,1.0028100600863232,0.26860150902171065,0,0.3104546237849987,-0.077,5.9215004615597,4.600006495410198
13,South,operations,17.046734689379146,61,5.0,3.643958660530515,0.7692001551084573,0.07244509794063202,2.1191453955138493,0.5168177347738867,1,0.40203488809959315,-0.077,6.044142403712335,5.0
14,Midwest,writing,5.039687211655851,39,4.534619184508727,3.5258853600806788,0.2201898971446858,0.07565454805547434,0.33755751235878606,0.40894236534875905,1,0.6283072171679184,-0.12,5.3928298462713204,4.431673558069515
