arm,moment,data_moment,structural_use
control,effort_response_vs_control,0.0,reciprocity or incentive response
control,value_response_vs_control,0.0,productivity value of effort response
control,quality_response_vs_control,0.0,quality-adjusted effort and task motivation
cash_gift,effort_response_vs_control,3.3584166666666704,reciprocity or incentive response
cash_gift,value_response_vs_control,1.7815000000000083,productivity value of effort response
cash_gift,quality_response_vs_control,-0.01000000000000012,quality-adjusted effort and task motivation
noncash_gift,effort_response_vs_control,4.229749999999996,reciprocity or incentive response
noncash_gift,value_response_vs_control,3.3497500000000073,productivity value of effort response
noncash_gift,quality_response_vs_control,0.0050000000000000044,quality-adjusted effort and task motivation
piece_rate,effort_response_vs_control,2.6400000000000006,reciprocity or incentive response
piece_rate,value_response_vs_control,2.940166666666677,productivity value of effort response
piece_rate,quality_response_vs_control,0.0,quality-adjusted effort and task motivation
employer_return,effort_response_vs_control,5.207833333333333,reciprocity or incentive response
employer_return,value_response_vs_control,4.441166666666675,productivity value of effort response
employer_return,quality_response_vs_control,0.01100000000000001,quality-adjusted effort and task motivation
